Product_name,Product_price,Rate,Review,Summary
Apple iPhone 14,14640,2,Too bulky for everyday use.,Too bulky for everyday use. I wouldn't recommend this product.
Apple iPhone 14,14640,3,It gets hot after a short time.,It gets hot after a short time. I wouldn't recommend this product.
Apple iPhone 14,14640,2,Battery life could be better.,Battery life could be better. I wouldn't recommend this product.
Apple iPhone 14,14640,5,Best purchase I've made this year.,"Best purchase I've made this year. Overall, it's a great choice."
Apple iPhone 14,14640,4,Works like a charm.,"Works like a charm. Overall, it's a great choice."
Apple iPhone 14,14640,2,Too bulky for everyday use.,Too bulky for everyday use. I wouldn't recommend this product.
Apple iPhone 14,14640,1,Very difficult to set up.,Very difficult to set up. I wouldn't recommend this product.
Apple iPhone 14,14640,4,Lightweight and portable.,"Lightweight and portable. Overall, it's a great choice."
Apple iPhone 14,14640,5,This product exceeded my expectations.,"This product exceeded my expectations. Overall, it's a great choice."
Apple iPhone 14,14640,2,Too bulky for everyday use.,Too bulky for everyday use. I wouldn't recommend this product.
Samsung Galaxy S23,10750,3,The performance is underwhelming.,The performance is underwhelming. I wouldn't recommend this product.
Samsung Galaxy S23,10750,1,Too bulky for everyday use.,Too bulky for everyday use. I wouldn't recommend this product.
Samsung Galaxy S23,10750,3,Battery life could be better.,Battery life could be better. I wouldn't recommend this product.
Samsung Galaxy S23,10750,1,It does not meet my expectations.,It does not meet my expectations. I wouldn't recommend this product.
Samsung Galaxy S23,10750,5,Very user-friendly.,"Very user-friendly. Overall, it's a great choice."
Samsung Galaxy S23,10750,5,Absolutely love this!,"Absolutely love this! Overall, it's a great choice."
Samsung Galaxy S23,10750,2,It does not meet my expectations.,It does not meet my expectations. I wouldn't recommend this product.
Samsung Galaxy S23,10750,1,It gets hot after a short time.,It gets hot after a short time. I wouldn't recommend this product.
Samsung Galaxy S23,10750,3,It broke after a month of use.,It broke after a month of use. I wouldn't recommend this product.
Samsung Galaxy S23,10750,3,Not worth the price.,Not worth the price. I wouldn't recommend this product.
Google Pixel 7,13610,5,Sound quality is outstanding!,"Sound quality is outstanding! Overall, it's a great choice."
Google Pixel 7,13610,4,Best purchase I've made this year.,"Best purchase I've made this year. Overall, it's a great choice."
Google Pixel 7,13610,5,Intuitive interface.,"Intuitive interface. Overall, it's a great choice."
Google Pixel 7,13610,1,Limited features for the price.,Limited features for the price. I wouldn't recommend this product.
Google Pixel 7,13610,3,Battery life could be better.,Battery life could be better. I wouldn't recommend this product.
Google Pixel 7,13610,1,It gets hot after a short time.,It gets hot after a short time. I wouldn't recommend this product.
Google Pixel 7,13610,4,Fantastic performance!,"Fantastic performance! Overall, it's a great choice."
Google Pixel 7,13610,4,Sound quality is outstanding!,"Sound quality is outstanding! Overall, it's a great choice."
Google Pixel 7,13610,3,Poor build quality.,Poor build quality. I wouldn't recommend this product.
Google Pixel 7,13610,5,Great value for the price.,"Great value for the price. Overall, it's a great choice."
Sony WH-1000XM5,10430,4,This product exceeded my expectations.,"This product exceeded my expectations. Overall, it's a great choice."
Sony WH-1000XM5,10430,2,It broke after a month of use.,It broke after a month of use. I wouldn't recommend this product.
Sony WH-1000XM5,10430,1,The screen is too dim.,The screen is too dim. I wouldn't recommend this product.
Sony WH-1000XM5,10430,2,It gets hot after a short time.,It gets hot after a short time. I wouldn't recommend this product.
Sony WH-1000XM5,10430,3,Poor build quality.,Poor build quality. I wouldn't recommend this product.
Sony WH-1000XM5,10430,4,Absolutely love this!,"Absolutely love this! Overall, it's a great choice."
Sony WH-1000XM5,10430,1,Limited features for the price.,Limited features for the price. I wouldn't recommend this product.
Sony WH-1000XM5,10430,3,Not as advertised.,Not as advertised. I wouldn't recommend this product.
Sony WH-1000XM5,10430,2,It broke after a month of use.,It broke after a month of use. I wouldn't recommend this product.
Sony WH-1000XM5,10430,3,I had some issues with the setup.,I had some issues with the setup. I wouldn't recommend this product.
Bose QuietComfort 45,14160,2,Limited features for the price.,Limited features for the price. I wouldn't recommend this product.
Bose QuietComfort 45,14160,1,It gets hot after a short time.,It gets hot after a short time. I wouldn't recommend this product.
Bose QuietComfort 45,14160,3,Not as advertised.,Not as advertised. I wouldn't recommend this product.
