Product_name,Product_price,Rate,Review,Summary
JBL Tune 760 NC,5000,5,nice,great headphones
JBL Tune 760 NC,5000,5,excellent,works well
JBL Tune 760 NC,5000,4,works,good noise cancellation
JBL Tune 760 NC,5000,4,super,works well
JBL Tune 760 NC,5000,4,highly recommended,sounds good
JBL Tune 760 NC,5000,3,fair,bad noise cancellation
JBL Tune 760 NC,5000,3,not worth,not worth the price
JBL Tune 760 NC,5000,2,doesn’t work,got a broken headphone
JBL Tune 760 NC,5000,1,unsatisfactory,it’s a bad product
Iphone 16,90000,5,very good,very good for gaming
Iphone 16,90000,5,works well,very good camera
Iphone 16,90000,5,highly recommended,works well in every aspect
Iphone 16,90000,1,bad,laggy as hell
Iphone 16,90000,1,very bad,overheating issue
Macbook Air M2,200000,5,highly recommended,good laptop
Macbook Air M2,200000,5,highly recommended,productive 
Macbook Air M2,200000,5,excellent,smooth
Macbook Air M2,200000,3,nice,ok
Macbook Air M2,200000,3,works well,works as intended
Macbook Air M2,200000,3,nice,good product
Macbook Air M2,200000,2,fair,does its job
Macbook Air M2,200000,2,unsatisfactory,overheating issue
Macbook Air M2,200000,1,not worth,not worth the price
Macbook Air M2,200000,1,doesn’t work,its broken
Sony WH-1000XM4,5000,1,average,great sound
JBL Tune 760 NC,5000,1,best purchase,build quality is solid
Sennheiser HD 450BT,5000,4,poor,noise cancellation is great
Sony WH-1000XM4,15000,4,best purchase,noise cancellation is great
Sony WH-1000XM4,20000,1,good,worth the price
JBL Tune 760 NC,20000,3,decent,sound is average
Apple AirPods Max,25000,5,amazing,build quality is solid
Sennheiser HD 450BT,25000,5,not worth,battery lasts long
JBL Tune 760 NC,25000,3,satisfactory,overpriced for features
Bose QuietComfort 35 II,15000,5,amazing,overpriced for features
JBL Tune 760 NC,25000,3,excellent,sound is average
Bose QuietComfort 35 II,15000,3,not worth,sound is average
Sennheiser HD 450BT,15000,3,amazing,overpriced for features
Apple AirPods Max,25000,3,amazing,noise cancellation is great
Sennheiser HD 450BT,50000,3,not worth,sound is average
Sony WH-1000XM4,50000,4,average,worth the price
Sennheiser HD 450BT,5000,4,poor,sound is average
Apple AirPods Max,25000,3,average,sound is average
Bose QuietComfort 35 II,5000,1,best purchase,comfortable
Apple AirPods Max,50000,1,satisfactory,highly recommended
Apple AirPods Max,15000,2,average,sound is average
Apple AirPods Max,50000,1,good,noise cancellation is great
Sony WH-1000XM4,15000,3,good,noise cancellation is great
Bose QuietComfort 35 II,5000,2,excellent,build quality is solid
JBL Tune 760 NC,50000,5,amazing,battery lasts long
JBL Tune 760 NC,25000,5,value for money,battery lasts long
Apple AirPods Max,50000,3,good,battery lasts long
Sennheiser HD 450BT,50000,5,amazing,build quality is solid
Bose QuietComfort 35 II,25000,4,decent,battery lasts long
Sony WH-1000XM4,5000,3,not worth,battery lasts long
JBL Tune 760 NC,20000,4,value for money,comfortable
Sennheiser HD 450BT,50000,2,amazing,worth the price
JBL Tune 760 NC,25000,2,value for money,comfortable
Apple AirPods Max,5000,2,value for money,great sound
Bose QuietComfort 35 II,20000,3,decent,great sound
JBL Tune 760 NC,15000,1,excellent,sound is average
Sennheiser HD 450BT,5000,3,not worth,overpriced for features
Sony WH-1000XM4,15000,5,satisfactory,battery lasts long
Apple AirPods Max,20000,4,value for money,comfortable
JBL Tune 760 NC,50000,4,good,battery lasts long
Sony WH-1000XM4,20000,5,best purchase,highly recommended
Bose QuietComfort 35 II,25000,4,decent,build quality is solid
Sennheiser HD 450BT,20000,1,average,overpriced for features
Bose QuietComfort 35 II,25000,1,decent,great sound
JBL Tune 760 NC,15000,3,value for money,sound is average
JBL Tune 760 NC,15000,4,poor,great sound
Sennheiser HD 450BT,20000,1,best purchase,noise cancellation is great
Apple AirPods Max,5000,4,good,worth the price
Apple AirPods Max,25000,4,not worth,worth the price
Apple AirPods Max,15000,1,amazing,worth the price
Apple AirPods Max,50000,5,not worth,great sound
Bose QuietComfort 35 II,25000,2,decent,worth the price
Apple AirPods Max,15000,4,decent,comfortable
Apple AirPods Max,20000,3,best purchase,worth the price
Sony WH-1000XM4,20000,2,poor,great sound
Apple AirPods Max,25000,1,best purchase,worth the price
Sennheiser HD 450BT,50000,4,satisfactory,build quality is solid
Sennheiser HD 450BT,5000,3,average,battery lasts long
JBL Tune 760 NC,50000,1,value for money,highly recommended
Apple AirPods Max,50000,5,best purchase,battery lasts long
JBL Tune 760 NC,50000,5,value for money,not up to the mark
Sennheiser HD 450BT,5000,5,average,great sound
Bose QuietComfort 35 II,20000,4,amazing,great sound
Apple AirPods Max,5000,2,average,build quality is solid
Bose QuietComfort 35 II,20000,4,best purchase,highly recommended
Sennheiser HD 450BT,50000,4,excellent,build quality is solid
Apple AirPods Max,50000,4,satisfactory,sound is average
Sony WH-1000XM4,25000,3,best purchase,not up to the mark
JBL Tune 760 NC,50000,3,best purchase,comfortable
JBL Tune 760 NC,50000,1,poor,build quality is solid
Apple AirPods Max,50000,1,excellent,noise cancellation is great
Apple AirPods Max,15000,4,decent,worth the price
Sony WH-1000XM4,25000,5,not worth,battery lasts long
Bose QuietComfort 35 II,15000,3,value for money,highly recommended
Sennheiser HD 450BT,50000,1,average,great sound
